                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.91101,                0.72141,                0.90115,                0.88132,                 0.7734,                0.78665,                0.44408,                 1.3917,                 1.2663,                 1.1578,              0.0013765,              0.0013765,              0.0013765
                     90,                0.83632,                0.74714,                0.91455,                0.86739,                0.78219,                0.80617,                  0.438,                  1.415,                 1.2817,                 1.1568,              0.0013732,              0.0013732,              0.0013732
                     91,                0.79665,                0.74441,                0.89788,                0.84233,                0.76143,                0.81058,                0.46871,                 1.3655,                 1.2668,                 1.1369,              0.0013699,              0.0013699,              0.0013699
                     92,                0.82997,                0.70125,                0.87572,                0.82485,                0.77028,                 0.8106,                0.48872,                  1.351,                  1.262,                 1.1381,              0.0013666,              0.0013666,              0.0013666
                     93,                0.83453,                0.72806,                0.92317,                0.82485,                0.77028,                 0.8106,                0.48872,                  1.351,                  1.262,                 1.1381,              0.0013633,              0.0013633,              0.0013633
                     94,                 0.8388,                0.74217,                0.92713,                0.89819,                0.72632,                0.80338,                0.48329,                 1.3837,                 1.2572,                 1.1391,                0.00136,                0.00136,                0.00136
                     95,                0.84061,                0.71041,                 0.9029,                0.80367,                0.80805,                0.82303,                0.45931,                 1.4414,                 1.2526,                 1.1696,              0.0013567,              0.0013567,              0.0013567
                     96,                0.83042,                0.72629,                0.91199,                0.81914,                0.83166,                0.83664,                0.47826,                 1.4285,                 1.2695,                 1.1853,              0.0013534,              0.0013534,              0.0013534
                     97,                0.75614,                0.68404,                0.88611,                0.81914,                0.83166,                0.83664,                0.47826,                 1.4285,                 1.2695,                 1.1853,              0.0013501,              0.0013501,              0.0013501
                     98,                0.81924,                 0.6859,                0.90963,                0.87669,                0.73499,                0.79907,                0.47821,                 1.4177,                 1.2822,                 1.1724,              0.0013468,              0.0013468,              0.0013468
                     99,                0.86122,                0.72498,                0.91745,                 0.8654,                0.72155,                0.78252,                0.45562,                 1.4232,                 1.2446,                 1.1859,              0.0013435,              0.0013435,              0.0013435
                    100,                0.78754,                0.67018,                0.89954,                0.78552,                0.71817,                0.76872,                0.44877,                 1.3968,                  1.268,                  1.222,              0.0013402,              0.0013402,              0.0013402
                    101,                0.73607,                0.69828,                0.91047,                0.78552,                0.71817,                0.76872,                0.44877,                 1.3968,                  1.268,                  1.222,              0.0013369,              0.0013369,              0.0013369
                    102,                0.67893,                0.70756,                0.91245,                0.74114,                0.75359,                0.73887,                 0.4299,                 1.3812,                 1.3221,                 1.2197,              0.0013336,              0.0013336,              0.0013336
                    103,                0.77891,                0.69879,                0.86727,                0.70263,                0.73322,                0.73505,                0.42425,                 1.3612,                 1.3682,                 1.1856,              0.0013303,              0.0013303,              0.0013303
                    104,                0.82818,                0.65715,                0.88911,                 0.7561,                0.67522,                0.75806,                0.43521,                 1.3664,                 1.2346,                 1.1632,               0.001327,               0.001327,               0.001327
                    105,                0.79999,                 0.7035,                 0.8893,                 0.7561,                0.67522,                0.75806,                0.43521,                 1.3664,                 1.2346,                 1.1632,              0.0013237,              0.0013237,              0.0013237
                    106,                0.77001,                0.75726,                0.91176,                0.81931,                0.71457,                0.78151,                0.42598,                 1.4143,                 1.1578,                 1.1937,              0.0013204,              0.0013204,              0.0013204
                    107,                0.82406,                 0.7723,                0.91841,                0.85504,                 0.7359,                0.77366,                0.41736,                 1.4322,                 1.1664,                 1.2087,              0.0013171,              0.0013171,              0.0013171
                    108,                0.84162,                0.73113,                0.91712,                0.84178,                 0.6836,                0.75235,                0.42277,                 1.4146,                 1.2164,                 1.2404,              0.0013138,              0.0013138,              0.0013138
                    109,                0.79984,                0.73198,                0.91129,                0.84178,                 0.6836,                0.75235,                0.42277,                 1.4146,                 1.2164,                 1.2404,              0.0013105,              0.0013105,              0.0013105
                    110,                0.76115,                0.68567,                0.90159,                0.84544,                0.65775,                0.78593,                0.43572,                 1.4277,                 1.2498,                 1.2492,              0.0013072,              0.0013072,              0.0013072
                    111,                0.74711,                 0.6635,                  0.863,                0.82111,                 0.6758,                0.77263,                0.42507,                 1.4614,                  1.332,                 1.2665,              0.0013039,              0.0013039,              0.0013039
                    112,                0.74634,                0.65576,                0.87519,                0.78247,                0.72794,                0.78481,                0.42349,                 1.4608,                 1.2162,                 1.2358,              0.0013006,              0.0013006,              0.0013006
                    113,                 0.7395,                0.65641,                 0.8618,                0.78247,                0.72794,                0.78481,                0.42349,                 1.4608,                 1.2162,                 1.2358,              0.0012973,              0.0012973,              0.0012973
                    114,                0.70789,                0.59562,                0.85262,                0.77187,                0.83021,                0.81129,                0.43508,                 1.4195,                 1.0989,                  1.165,               0.001294,               0.001294,               0.001294
                    115,                 0.7807,                0.63668,                0.88921,                0.86532,                 0.7206,                0.77076,                0.43763,                 1.3911,                  1.082,                  1.161,              0.0012907,              0.0012907,              0.0012907
                    116,                0.76932,                 0.7218,                0.93491,                0.82476,                0.80646,                0.80044,                0.45219,                 1.3617,                 1.0579,                 1.1574,              0.0012874,              0.0012874,              0.0012874
                    117,                0.81947,                0.64977,                 0.9498,                0.82476,                0.80646,                0.80044,                0.45219,                 1.3617,                 1.0579,                 1.1574,              0.0012841,              0.0012841,              0.0012841
                    118,                0.73563,                0.63875,                 0.8787,                0.83896,                0.81885,                0.82977,                0.46279,                 1.4108,                 1.0097,                 1.1977,              0.0012808,              0.0012808,              0.0012808
                    119,                0.81752,                0.68972,                0.90109,                0.82042,                0.80857,                0.80976,                0.46458,                 1.3947,                 1.0155,                 1.2303,              0.0012775,              0.0012775,              0.0012775
